510;MAGO ACCESORIOS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 7 No 1-25;8600324
511;MANANTIALES DE LOS ANDES S.A - WINTER;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 3,8 VIA EL HATO ;8608029
512;MANTENIMIENTO  Y REPARACION  DE GUADAÑAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No 2-05;8602446
513;MAR-K TU ESTILO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 9-57;3144633958
514;MARLY PAN;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;VDA MUNDO NUEVO;8605904
515;MAS PROTECCION ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VEREDA LA TOMA FINCA EL MIRADOR ;8757507
516;MAS TIENDA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;AV PPAL LA PORTADA;3118428456
517;MASAJES UMYL;SPA;93; ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;C 6 No 4-36 PISO 1;8757513
518;MASG COMUNICACIONES;TELECOMUNICACIONES;61;TELECOMUNICACIONES;VEREDA SAN JOSE DE LAS MERCEDES ;3143252202
519;MASTER;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 3 No. 5 - 17;8751612
520;MAXI-COMPRAS;SUPERMERCADO;47;COMERCIO AL POR MENOR;C 8 No 6 53;
521;MEDIAS GEVEN;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 4 No 9-76;3144458416/8602193
522;MEGA IDEAS PUBLICITARIAS SAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 19 VIA SOPO  PRADERA POTOSI;8747000
523;MEME CHEF;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CLL 9 No. 4-08;8600149
524;MERCAFACIL;SUPERMERCADO;47;COMERCIO AL POR MENOR;C 5 No 5-70;8757496
525;MERCAFACIL LA SIBERIA;SUPERMERCADO;47;COMERCIO AL POR MENOR;KM 7 VIA VDA FRAILEJONAL;8609016
526;MERCAFLANDES MAO;SUPERMERCADO;47;COMERCIO AL POR MENOR;CRA 3 No. 4-06;8757667
527;MERCATIENDA LA FLORIDA;SUPERMERCADO;47;COMERCIO AL POR MENOR;CRA 2B No 8-59;8605534
528;MERKA LLANTAS;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;CARRERA 54 No. 70 C - 15;2316122
529;MI CASA MUSICAL;ALMACEN;47;COMERCIO AL POR MENOR;CRA 3 No. 8-96;8600664
530;MI GRAN IMPERIO CHINO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;BARRIO BUENA VISTA;3115278566
531;MIL COSITAS Y ALGO MAS;ALMACEN;47;COMERCIO AL POR MENOR;C 8 No 2-02;8600816/3112285234
532;MILENIO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 1A No 3 -25;3212047290
533;MILENIO DE TAXIS LTDA;TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";CARRERA 3 No. 9 - 62;8601171
534;MINIMARKET;SUPERMERCADO;47;COMERCIO AL POR MENOR;KM 10 VIA LA CALERA VEREDA EL SALITRE;8609720
535;MINIMERCADO;SUPERMERCADO;47;COMERCIO AL POR MENOR;AV 2 No 9-03;8600102
536;MINIMERCADO ALIMAR;SUPERMERCADO;47;COMERCIO AL POR MENOR;AV 2 No. 5 03;3112830318
537;MINIMERCADO BUENAVISTA;SUPERMERCADO;47;COMERCIO AL POR MENOR;K 4 No 7-71;8757206
538;MINIMERCADO BUENAVISTA;SUPERMERCADO;47;COMERCIO AL POR MENOR;AV 2 No. 1-08;3124337895
539;MINIMERCADO D1 LA CALERA;SUPERMERCADO;47;COMERCIO AL POR MENOR;C 5 No 4-06;8600219
540;MINIMERCADO EL ESQUINAZO;SUPERMERCADO;47;COMERCIO AL POR MENOR;C 12 No 5-45 EL PARAISO;8602693
541;MINIMERCADO FABIAN ANDRES;SUPERMERCADO;47;COMERCIO AL POR MENOR;C 2A No 4A-25;8757475
542;MINIMERCADO J Y M;SUPERMERCADO;47;COMERCIO AL POR MENOR;C 3 No 7-22 B. BUENA VISTA;8757071
543;MINIMERCADO J.R;SUPERMERCADO;47;COMERCIO AL POR MENOR;BARRIO BUENAVISTA;8602847
544;MINIMERCADO JAIR;SUPERMERCADO;47;COMERCIO AL POR MENOR;KILOMETRO 2 VIAA BRICEÑO ZIPAQUIRA PARQUE INDUSTRIAL TIBITOC BODEGA 29;7425375
545;MINIMERCADO LA FINQUITA;SUPERMERCADO;47;COMERCIO AL POR MENOR;K 6 No 1A-02;8757077
546;MINIMERCADO LAS BETHEMITAS;SUPERMERCADO;47;COMERCIO AL POR MENOR;CRA 2 E No. 4-25;8600382
547;MINIMERCADO MONTREAL;SUPERMERCADO;47;COMERCIO AL POR MENOR;K 4 No 10B -07;8603157
548;MINIMERCADO REGIO;SUPERMERCADO;47;COMERCIO AL POR MENOR;C 7 No 6-30;8751370-8752030
549;MINIMERCADO SUSY;SUPERMERCADO;47;COMERCIO AL POR MENOR;K 4 No 9-60;8603706
550;MINIMERCADO VILLA 70;SUPERMERCADO;47;COMERCIO AL POR MENOR;K 5 No 3-26;3118059408
551;MINIMUNDO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;MARQUEZ;8606329
552;MINITIENDA;SUPERMERCADO;47;COMERCIO AL POR MENOR;CR 4 No. 3 - 84;8601358
553;MIRADOR BUENAVISTA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 8 No. 2-49 ESTE;8752319
554;MISCELANEA ;MISCELÁNEA;47;COMERCIO AL POR MENOR;K 6 No 1-34;8602657
555;MISCELANEA ANGIE;MISCELÁNEA;47;COMERCIO AL POR MENOR;C 9 No 9-34;8602626
556;MISCELANEA ANNIS;MISCELÁNEA;47;COMERCIO AL POR MENOR;CALLE 9 No. 3 - 03;3138903129
557;MISCELANEA ARCO IRIS;MISCELÁNEA;47;COMERCIO AL POR MENOR;C 10 No 2A-62;8604547
558;MISCELANEA AUROCAR;MISCELÁNEA;47;COMERCIO AL POR MENOR;MIRADOR BUENAVISTA;8608464
559;MISCELANEA BALMORAL LA CALERA;MISCELÁNEA;47;COMERCIO AL POR MENOR;TREINTA Y SEIS;8605867
560;MISCELANEA CHIQUIGRANDES;MISCELÁNEA;47;COMERCIO AL POR MENOR;KM 7 VIA EL LIBANO;8608173
561;MISCELANEA CHOCOLAT;MISCELÁNEA;47;COMERCIO AL POR MENOR;C 10A No 3-08;8600238
562;MISCELANEA CRISTIAN;MISCELÁNEA;47;COMERCIO AL POR MENOR;KM 10VEREDA EL SALITRE;8609045
563;MISCELANEA LA FRESITA;MISCELÁNEA;47;COMERCIO AL POR MENOR;KR 4 No.5-06;8602753
564;MISCELANEA MARIAM;MISCELÁNEA;47;COMERCIO AL POR MENOR;C 8 No 2A-69;8603211
565;MISCELANEA MI ESPERANZA;MISCELÁNEA;47;COMERCIO AL POR MENOR;C 7 No 2B-21 frente cc. La calera;3107959179
566;MISCELANEA SURAMERICA;MISCELÁNEA;47;COMERCIO AL POR MENOR;K 3 No 9-74;8757615
567;MISCELANEA TENNIS Y BOTAS;MISCELÁNEA;47;COMERCIO AL POR MENOR;C 6 No 3-25;
568;MISTER ICE CREAM;HELADERÍA Y/O FRUTERIA;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 5 No 5-03;8600346
569;MONTALLANTAS EL PAISA;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;C 10B No 3-08;8757633
570;MONTALLANTAS LA AMISTAD;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;MUNDO NUEVO;8741860
571;MONTECLARO LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 8-71;8600267
572;MORAUTOS;COMERCIO DE MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;TERMINAL DE TRANSPORTE ;3105578250
573;MOTOS SPORT ZAMORA;COMERCIO DE MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;LA PORTADA;312365123
574;MPT CONSTRUCTORES S.A.S.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No 1-74;8602289
575;MUBARAK;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 44 No 20B-26 BOGOTA D.C;3680599
576;MUCHA AREPA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2 No 11-55;3167342222
577;MUEBLES EL ROBLE;ALMACEN DE MUEBLES-ELECTRODOMESTICOS;47;COMERCIO AL POR MENOR;AVENIDA CARRERA 2 No. 11-51;3115694465
578;MUEBLES RUSTICOS CADENA;ALMACEN DE MUEBLES-ELECTRODOMESTICOS;47;COMERCIO AL POR MENOR;CALLE 9 No. 2 b - 02 p 2;3105736821
579;MUEBLES STEFANY;ALMACEN DE MUEBLES-ELECTRODOMESTICOS;47;COMERCIO AL POR MENOR;CALLE 6 No. 5 - 67 APTO 301;3202106548
580;MULTIMEDIAS DANNA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 113 N 10 - 17 APTO 301;8047441
581;MULTISERVICIOS A M ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 3-95;3132740100
582;MULTISERVICIOS SANCHEZ VARGAS LTDA;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;AV 2 No 5-24;8751850
583;MUNDO ARTESANAL;ARTE;90;ACTIVIDADES CREATIVAS, ARTISTICAS Y DE ENTRETENEMIENTO;AV 2 No 4-84;3138604104
584;MUNDO COMUNICACIONES J Y E;TELECOMUNICACIONES;61;TELECOMUNICACIONES;LA PORTADA;3133632216
585;MUNDO EMPANADA;COMIDAS RAPIDAS;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K 4 No 7-52;8600111
586;MUNDONET;TELECOMUNICACIONES;61;TELECOMUNICACIONES;CARRERA 3 No. 5 - 41;8757492
587;NACHO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 4 No. 7 - 52 PISO 2;8600818
588;NATY`S ESTILO Y BELLEZA;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;C 8 No 4-05;8604474
589;ODINSA  PROYECTOS E INVERSIONES  S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 2 No 6 81;4714376
590;ONDE ALEJO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 5 No 3-83;3118572144
591;OPEN SOLUTIONS S.A.S.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AVENIDA 2 No. 9-06;3212130006
592;OPERACIONES Y SERVICIOS  DE COMBUSTIBLES S.A.S;VENTA DE COMBUSTIBLE;47;COMERCIO AL POR MENOR;DIAGONAL 97 No. 17 - 60 PL 6;6501919
593;OPTOMETRIA;OPTICA;47;COMERCIO AL POR MENOR;AV. CRA.80 No, 2 - 51 BG 4 LOCAL 12 CORABASTOS;45001407
594;ORANGE;TELECOMUNICACIONES;61;TELECOMUNICACIONES;AVENIDA  2 No. 4-38;8609054
595;ORGANICA EN EL CIELO S.A.S;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 3 No 7-38;8600333
596;ORGANICA FUNCION ARTE S.A;ARTE;90;ACTIVIDADES CREATIVAS, ARTISTICAS Y DE ENTRETENEMIENTO;VEREDA EL SALITRE- FINCA EL TROMPO;3165207311
597;ORGANIZACIÓN TERPEL S.A.;VENTA DE COMBUSTIBLE;47;COMERCIO AL POR MENOR;CALLE 66 No. 67 123 BARRANQUILLA;
598;ORNAMENTACION REYES;TALLER DE ORNAMENTACION;25;FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO;CALLE 7 No. 2 B - 34 LA CALERA ;8601378
599;PACK COMUNICACIONES;TELECOMUNICACIONES;61;TELECOMUNICACIONES;AV 2A No 7-07;3133483336
600;PAISAJE URBANISITICO LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KILOMETRO 1.5 VIA  MUNDO NUEVO ;8602216
601;PALO DE AGUA EVENTOS SAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 1,5 VIA MUNDO NUEVO;8602216
602;PAN CASERO;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;CRA 7 No. 71-21 TORRE B OF 1303 BOGOTA D.C.;8603300
603;PAN Y AMEN ;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;K 4A No 1-109;8600061
604;PANADERIA CALICAM;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;C 7 No 4-08;8600195
605;PANADERIA DAGUSTO;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;CAKKE 118 No. 11 B - 66;2141263
606;PANADERIA EL MANA;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;VRD EL RODEO FINCA GITO DE AGUA NORTE;3142958736
607;PANADERIA GALICIA;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;K 6 No 1-21;8603021
608;PANADERIA LA ESPIGUITA DOS;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;KM 7 VIA LA CALERA;8608059
609;PANADERIA LA PRIMAVERA;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;C 9 No 3-16;8603995
610;PANADERIA LOS PRIMOS;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;K 4 7 77;8603733
611;PANADERIA PASEO REAL/PANADERIA SANTAMARIA;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;C 7 No 2-90;8600711
612;PANADERIA SOLO SABOR;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;KM 10 VEREDA EL SALITRE;8609210
613;PANADERIA Y BILLARES MARQUEZ;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;C 5 No 4-26;3138474708
614;"PANADERIA,CAFETERIA,BAR Ruco""z ";PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;K 3 No 7-60;8600940
615;PANCHO PURO MEXICO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 8 N0 3 - 04;
616;PANELITAS LUMEC;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 3-95 PASEO REAL  ;8603412/3208371112
617;PANILANDIA;PANADERÍA;10;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;CALLE 7 No. 8 - 12;3102216805
618;PAÑALERA GRANUJITAS;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;MARQUEZ;8606326
619;PAPEL  Y MODA;PAPELERIA;47;COMERCIO AL POR MENOR;AV 2 No 7-20;8601998
620;PAPELERIA ALTO DE LA VIRGEN;PAPELERIA;47;COMERCIO AL POR MENOR;KM 13 VIA LA CALERA ;8609031
621;PAPELERIA AREA 10;PAPELERIA;47;COMERCIO AL POR MENOR;K 7 No 8-14;8602956
622;PAPELERIA HEYDERS;PAPELERIA;47;COMERCIO AL POR MENOR;K 4 No 8-52;8604233
623;PAPELERIA LAPIZ Y PAPEL;PAPELERIA;47;COMERCIO AL POR MENOR;AV 2A No 8-72;8601782
624;PAPELERIA MERCURIO;PAPELERIA;47;COMERCIO AL POR MENOR;CALLE 9 No. 2 - 28;8600356
625;PAPELERIA PUNTO VERDE;PAPELERIA;47;COMERCIO AL POR MENOR;CLL 8 No. 7A-14;8751822
626;PAPELERIA VALENTINA;PAPELERIA;47;COMERCIO AL POR MENOR;CALLE No 4-77 APTO 501 B;
627;PAPELERIA Y MINIMERCADO YOLY LA CALERA;PAPELERIA;47;COMERCIO AL POR MENOR;K 3 No 9-24;8601429
628;PAPELERIA Y MISCELANEA KOLORS;PAPELERIA;47;COMERCIO AL POR MENOR;EL TRIUNFO;8606302
629;PAPELERIA Y VARIEDADES TIMOTEO;PAPELERIA;47;COMERCIO AL POR MENOR;C 4 No 7-29;8601366
630;PARADOR BOYACENSE;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 8 No 2A- 45;8600500
631;PARADOR LA ESQUINITA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K 9 No 9-10 VILLA 70;8752205
632;PARADOR LA PORTADA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 2A No 5-24;3115595334
633;PARKYS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 7 No 5-66;8752315
634;PARQUEADERO EL CARMEN  Y ASOCIADOS;PARQUEADERO;52;ALMACENAMIENTO Y ACTIVIDADES COMPLEMENTARIAS AL TRANSPORTE;K 5 No 2A-15;8751075
635;PARQUEADERO FLANDES;PARQUEADERO;52;ALMACENAMIENTO Y ACTIVIDADES COMPLEMENTARIAS AL TRANSPORTE;PLAZA DE MERCADO LOCAL 21;3203417470
636;PARQUEADERO LOS CASCAJOS;PARQUEADERO;52;ALMACENAMIENTO Y ACTIVIDADES COMPLEMENTARIAS AL TRANSPORTE;PLAZA DE MERCADO KIOSCO 4;8751210
637;PARQUEADERO PUBLICO LA OCTAVA;PARQUEADERO;52;ALMACENAMIENTO Y ACTIVIDADES COMPLEMENTARIAS AL TRANSPORTE;KM 1 VIA GUASCA;8602120
638;PARQUEADERO Y LAVADERO FLANDES JEC;PARQUEADERO;52;ALMACENAMIENTO Y ACTIVIDADES COMPLEMENTARIAS AL TRANSPORTE;CARRERA 6 No. 7 - 34;8757030
639;PARRILLA 1957;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K  2A No 10-33 FLANDES;3172585376
640;PASCAL MISCELANEA Y PAPELERIA;MISCELÁNEA;47;COMERCIO AL POR MENOR;AV 2 No 9-60;8601264
641;PASTERIZADORA LA PRADERA S.A;ELABORACIÓN DE PRODUCTOS LACTEOS;10;ELABORACIÓN DE PRODUCTOS ALMINENTICIOS;CRA 4 No. 3-48;3143833461
642;PATIASADO PARRILLA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AVENIDA 2DA No. 8-05;8601815
643;PELUQUERIA;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;AV 2 No 9-23;8600306
644;PELUQUERIA ;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;VEREDA LA TOMA;8603339
645;PELUQUERIA CANINA;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;C 9 No 6-50 ALTO DE LA VIRGEN;8601370
646;"PELUQUERIA D""OSCAR";SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;CLL 162 No. 40-81 BOGOTA D.C.;8606393
647;PELUQUERIA DARLY;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;AV. 2 No. 9 - 17;3128204525
648;PELUQUERIA EL TRIUNFO;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;CALLE 8 No. 7A-14;3118807124
649;PELUQUERIA IVAN PRIETO;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;MARQUEZ;3102547002
650;PELUQUERIA MARCO AURELIO;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;CRA 3 No. 2-95;3142899152
651;PELUQUERIA MARIA IRENE;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;CONJUNTO SANTAMARIA CLL 6 No. 4A-77;8603403
652;PELUQUERIA RUTH AYALA;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;C 8 No 2A-14;3112594464
653;PELUQUERIA VENUS;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;SAN JOSE EL TRIUNFO;8742222
654;PELUQUERIA YESID'S;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;C 5 No 4-26;8751596
655;PERNILONES;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 5 No 2-40;8757512
656;PESCA NUMPAQUE LUIS ALBERTO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 5 No 3-75;8603208
657;PIGMENTO ARTE Y COLOR;ARTE;90;ACTIVIDADES CREATIVAS, ARTISTICAS Y DE ENTRETENEMIENTO;CLL 3 No. 6 - 61 LA CALERA;8603754
658;PIJAMAS B Y G;ALMACEN;47;COMERCIO AL POR MENOR;C 6 No 4-28;8603535
659;PINTUCALERA;ARTE;90;ACTIVIDADES CREATIVAS, ARTISTICAS Y DE ENTRETENEMIENTO;C 6 No 4-43;8601003
660;PIQUETEADERO ALTO DE LAS AREPAS;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2 No 5-25;8600428
661;PIQUETEADERO CASA DE PIEDRA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 13a 3A 25;8600779
662;PIQUETEADERO EL CHOROTE;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2 No. 4A 24;8600817
663;PIQUETEADERO EL RANCHO;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 8 No 2A-63;3143485126
664;PIQUETEADERO LA AMISTAD;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2 No 2-16;8602841
665;PIQUETEADERO LA MAZORCA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;SAN JOSE LAS MERCEDES;8600742-8600981
666;PIQUETEADERO LOS SAUCES;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;KM 7,5 VIA BOGOTA LA CALERA;8741220
667;PIQUETEADERO MI REFUGIO;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;KM 7.5 VIA LA CALERA;8608343
668;PIQUETEADERO PICADITAS;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;MARQUEZ;8606585
669;PLASTICOS MONCLAT LTDA;PLASTICOS;47;COMERCIO AL POR MENOR;LA AURORA BAJA;8606618
670;PLASTIFULL;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 8 VIA LA CALERA EL SALITRE;
671;PLASTIHOGAR LA CALERA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;EL TRIUNFO;8606265
672;PLAZA DE MERCADO;SUPERMERCADO;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO LOCAL 32;
673;PLOTER Y COPIAS;PAPELERIA;47;COMERCIO AL POR MENOR;C 6 No 4-43;3125213724/8601003
674;PLOTER Y COPIAS;PAPELERIA;47;COMERCIO AL POR MENOR;POSTE 276 VIA LA CALERA;3680599
675;POLLO ARDIENTE;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AVENIDA 2 No. 5-29;8600813
676;POLLOS Y POLLOS;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 7 No 2-77;8757323
677;PORTIPOLLOS;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE MERCADO KIOSCO 2 ;8603999
678;POSTRES DEL MONO;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;C 7 No 2B-34 piso 2 C.C LA CALERA ;8752099
679;POTOSI LA PRADERA SA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 7 No. 2B-34 OFICINA 305;8600282
680;PROCOL LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No 6-38;8600075
681;PRODAGRO EL RANCHO;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;C 9 No 2-34;8754264/3115992772
682;PROMOPLAST LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 8 No 1-84;8601903
683;PROMOTORA DE PROYECTOS ANDALUCIA S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;EL SALITRE;8603460
684;PROMOTORA LA CALERA SAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 82 No. 7- 80 BOGOTA D.C.;8747000
685;PROMOTORA MACADAMIA ORIENTAL S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2B No. 9-02 piso 2 VIA AL INTRA;8601659
686;PRONATURALES Y BIOLOGICOS VIDA SANAN S.A.S;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;VEREDA EL RODERO SECTOR MONSERRATE;
687;PROTECCION J.R;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 11 CJTO GUASCA;3687562
688;PROTYECTOS DE INGENIERIA ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 30 A No. 6 - 22 PISO 32;3403214
689;PROVEEMOS SA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CL 93 B 19- 35 PISO 6;6352285
690;PROYECTAMOS ARQUITECTURA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 70 No. 5 - 05;2083663
691;PUNTO FERRETERO;FERRETERIA;47;COMERCIO AL POR MENOR;CALLE 7 No. 2 B - 34 LOCAL 302;8600677
